Sample,Time_us,Raw_u16,Voltage_V
663,663014,13747,0.692227
664,664010,13939,0.701895
665,665008,14195,0.714786
666,666013,14435,0.726871
667,667010,14579,0.734122
668,668014,14547,0.732511
669,669010,14355,0.722843
670,670014,14083,0.709146
671,671011,13843,0.697061
672,672015,13715,0.690616
673,673012,13763,0.693033
674,674013,13923,0.701090
675,675009,14211,0.715592
676,676013,14435,0.726871
677,677010,14579,0.734122
678,678014,14531,0.731705
679,679010,14339,0.722037
680,680014,14083,0.709146
681,681012,13843,0.697061
682,682008,13715,0.690616
683,683012,13763,0.693033
684,684009,13923,0.701090
685,685013,14211,0.715592
686,686009,14435,0.726871
687,687013,14579,0.734122
688,688009,14515,0.730900
689,689009,14355,0.722843
690,690008,14083,0.709146
691,691012,13859,0.697867
692,692008,13715,0.690616
693,693012,13747,0.692227
694,694009,13923,0.701090
695,695012,14211,0.715592
696,696009,14435,0.726871
697,697008,14563,0.733317
698,698014,14531,0.731705
699,699011,14339,0.722037
700,700014,14083,0.709146
701,701011,13827,0.696255
702,702015,13715,0.690616
703,703011,13747,0.692227
704,704015,13939,0.701895
705,705015,14195,0.714786
706,706013,14435,0.726871
707,707010,14563,0.733317
708,708014,14531,0.731705
709,709010,14355,0.722843
710,710014,14083,0.709146
711,711011,13843,0.697061
712,712014,13715,0.690616
713,713015,13747,0.692227
714,714013,13939,0.701895
715,715009,14195,0.714786
716,716013,14435,0.726871
717,717010,14563,0.733317
718,718014,14547,0.732511
719,719010,14355,0.722843
720,720014,14083,0.709146
721,721013,13859,0.697867
722,722010,13715,0.690616
723,723014,13747,0.692227
724,724010,13923,0.701090
725,725014,14163,0.713175
726,726011,14435,0.726871
727,727014,14563,0.733317
728,728011,14531,0.731705
729,729012,14339,0.722037
730,730012,14067,0.708341
731,731009,13843,0.697061
732,732013,13715,0.690616
733,733009,13747,0.692227
734,734013,13939,0.701895
735,735009,14195,0.714786
736,736013,14451,0.727677
737,737019,14563,0.733317
738,738010,14531,0.731705
739,739014,14355,0.722843
740,740010,14067,0.708341
741,741014,13843,0.697061
742,742011,13715,0.690616
743,743015,13747,0.692227
744,744011,13939,0.701895
745,745015,14179,0.713980
746,746012,14419,0.726065
747,747008,14579,0.734122
748,748012,14547,0.732511
749,749009,14355,0.722843
750,750013,14083,0.709146
751,751009,13843,0.697061
752,752013,13731,0.691421
753,753014,13747,0.692227
754,754013,13955,0.702701
755,755009,14211,0.715592
756,756013,14451,0.727677
757,757010,14563,0.733317
758,758014,14531,0.731705
759,759010,14355,0.722843
760,760014,14083,0.709146
761,761008,13827,0.696255
762,762012,13715,0.690616
763,763009,13747,0.692227
764,764013,13955,0.702701
765,765009,14195,0.714786
766,766013,14467,0.728482
767,767009,14563,0.733317
768,768013,14531,0.731705
769,769015,14339,0.722037
770,770014,14083,0.709146
771,771010,13843,0.697061
772,772014,13715,0.690616
773,773010,13747,0.692227
774,774014,13923,0.701090
775,775011,14211,0.715592
776,776015,14435,0.726871
777,777010,14563,0.733317
778,778008,14531,0.731705
779,779012,14355,0.722843
780,780009,14083,0.709146
781,781012,13859,0.697867
782,782009,13715,0.690616
783,783013,13763,0.693033
784,784009,13923,0.701090
785,785012,14195,0.714786
786,786009,14435,0.726871
787,787013,14579,0.734122
788,788009,14547,0.732511
